001,187,018,102,113,181,246,238,068,,246,18,102,68,238,181,187,01,113,,270,
277,225,142,238,063,001,250,252,164,,225,250,238,252,164,01,63,277,142,,306,
273,177,145,014,283,162,002,241,293,,14,02,293,162,145,273,241,283,177,,364,
002,081,188,061,274,129,023,238,017,,238,23,02,61,188,274,129,81,17,,214,
035,046,029,002,055,126,270,063,145,,46,29,126,02,35,63,270,55,145,,278,
269,107,222,143,277,002,065,181,071,,222,65,269,143,02,107,71,277,181,,372,
244,138,003,120,167,101,215,006,235,,101,167,244,215,235,120,03,06,138,,316,
149,003,051,180,083,186,185,011,099,,99,186,185,149,51,11,180,03,83,,388,
297,263,118,003,192,057,126,265,122,,192,126,57,263,03,122,118,297,265,,398,
005,226,114,154,276,146,131,267,017,,05,276,114,17,131,154,146,267,226,,282,
193,005,042,126,199,100,191,179,217,,199,191,179,193,126,05,100,42,217,,254,
252,081,006,011,112,172,122,173,054,,81,06,11,172,173,54,112,252,122,,316,
194,196,006,107,166,148,162,165,255,,107,06,166,165,148,196,255,194,162,,320,
032,109,114,007,289,044,251,094,034,,94,07,34,32,44,289,251,109,114,,354,
277,048,248,056,136,007,177,176,114,,136,07,248,277,56,114,177,48,176,,254,
280,181,184,113,065,196,070,200,008,,08,181,184,196,280,70,65,113,200,,272,
227,009,129,109,038,210,238,235,203,,38,227,129,09,210,238,235,203,109,,256,
010,039,278,143,263,086,160,201,257,,143,201,278,10,39,263,257,160,86,,330,
092,290,042,056,207,104,164,011,017,,56,17,290,164,207,92,42,11,104,,340,
018,011,234,034,217,031,228,021,056,,31,34,11,217,18,228,21,234,56,,250,
281,039,102,229,207,217,191,011,187,,102,281,187,39,11,207,217,229,191,,338,
200,073,291,220,237,011,193,187,137,,73,11,220,237,137,187,200,193,291,,358,
140,083,217,142,081,011,085,157,291,,142,140,217,157,85,11,83,81,291,,324,
122,195,174,180,299,011,265,240,188,,122,195,174,188,11,299,265,240,180,,316,
095,287,244,075,248,109,015,147,012,,109,12,248,95,244,75,15,147,287,,258,
012,054,117,171,237,223,188,118,246,,237,246,118,12,223,171,117,188,54,,388,
202,236,087,144,014,097,216,267,207,,97,236,216,14,144,202,87,267,207,,342,
079,251,255,081,016,074,189,187,109,,74,81,79,109,251,189,187,255,16,,348,
016,136,293,079,203,244,259,251,161,,16,136,161,293,251,244,79,203,259,,346,
243,127,088,016,298,279,278,215,083,,88,83,127,243,16,279,278,215,298,,342,
273,270,100,162,099,235,287,145,016,,100,99,273,162,270,16,287,145,235,,296,
018,125,222,026,093,060,085,159,247,,159,26,85,125,222,247,93,60,18,,326,
018,247,123,027,223,243,283,173,266,,123,27,266,243,18,247,223,283,173,,256,
090,069,185,018,241,209,282,285,192,,282,285,185,69,90,209,192,241,18,,344,
071,188,020,141,029,095,069,216,235,,29,69,20,71,216,235,95,188,141,,332,
036,035,231,020,132,110,162,064,284,,20,110,36,231,284,162,132,35,64,,328,
154,079,020,289,273,263,298,260,050,,289,260,263,50,298,273,154,79,20,,286,
216,122,281,197,271,021,129,219,211,,129,197,281,219,122,216,211,271,21,,302,
191,279,023,028,266,277,069,293,296,,277,23,69,191,279,266,296,28,293,,338,
023,124,039,282,276,201,182,199,155,,124,282,276,182,39,23,201,199,155,,324,
024,177,172,086,265,249,292,039,198,,249,86,177,198,172,24,39,265,292,,390,
162,252,278,297,122,113,024,123,048,,162,278,122,297,252,123,24,48,113,,310,
224,168,171,133,067,024,261,060,170,,171,133,224,67,168,24,170,60,261,,276,
177,083,066,241,244,024,211,197,143,,66,177,241,244,211,197,24,83,143,,312,
025,117,033,262,094,223,048,184,125,,125,33,262,223,94,117,25,48,184,,356,
077,271,026,062,300,160,063,097,043,,271,77,97,160,62,26,43,300,63,,354,
281,065,201,093,066,206,155,026,279,,206,93,66,155,281,279,26,65,201,,288,
254,190,286,139,135,262,026,166,295,,135,254,262,295,26,166,286,190,139,,292,
215,084,217,099,288,027,277,042,171,,215,277,99,27,42,217,84,171,288,,332,
113,162,027,164,263,240,252,293,234,,162,240,234,293,113,164,263,252,27,,364,
041,214,176,295,278,075,129,028,249,,176,214,41,278,75,295,249,129,28,,318,
