049,277,259,044,292,096,001,,259,01,277,49,44,292,96,,296,
273,079,174,296,001,252,204,,273,174,252,296,204,79,01,,254,
002,248,063,125,078,294,024,,248,63,02,125,24,78,294,,180,
107,059,002,258,092,105,273,,273,02,92,258,59,107,105,,302,
166,029,022,090,234,003,140,,29,90,234,140,22,03,166,,254,
026,226,265,185,066,190,003,,26,03,226,190,66,265,185,,360,
098,277,032,219,162,041,003,,41,219,162,277,98,32,03,,248,
185,172,003,252,242,206,289,,242,185,03,172,252,289,206,,232,
010,132,048,093,164,064,004,,164,10,04,48,64,132,93,,296,
182,011,046,255,004,127,267,,127,255,267,11,04,182,46,,234,
092,071,021,037,197,004,080,,37,92,71,21,04,80,197,,248,
004,270,197,155,201,278,027,,270,201,04,197,278,155,27,,264,
004,077,093,207,070,108,105,,105,207,04,93,77,108,70,,182,
113,005,112,073,102,121,275,,112,102,275,121,05,113,73,,310,
006,034,084,298,281,282,092,,282,06,34,92,84,281,298,,258,
009,210,281,271,204,266,019,,09,210,204,281,271,266,19,,246,
204,187,024,009,119,042,180,,09,187,24,42,180,119,204,,226,
256,028,009,109,211,214,113,,09,256,214,28,113,109,211,,292,
109,158,009,154,146,193,161,,161,09,109,193,158,154,146,,230,
161,028,279,139,010,144,057,,161,10,139,279,28,57,144,,212,
040,252,010,205,090,157,065,,252,10,157,205,90,40,65,,210,
046,123,011,062,106,184,246,,184,123,11,62,246,106,46,,280,
288,061,011,225,219,263,251,,61,11,288,225,263,219,251,,236,
200,105,011,223,113,195,269,,200,195,269,223,113,11,105,,210,
018,277,032,012,203,292,233,,32,277,18,203,292,12,233,,204,
211,053,055,012,192,072,049,,55,12,192,72,211,53,49,,264,
054,238,063,013,211,283,170,,238,54,13,170,63,211,283,,300,
115,095,282,068,014,080,162,,282,68,162,80,95,115,14,,254,
014,085,208,070,236,071,285,,285,14,85,71,70,208,236,,290,
021,222,033,166,203,015,255,,255,203,166,222,33,21,15,,216,
085,148,095,040,149,015,043,,85,40,43,15,149,95,148,,252,
263,275,196,288,015,229,046,,15,275,263,229,288,46,196,,246,
098,062,102,015,252,245,164,,62,98,245,15,102,252,164,,234,
024,288,292,016,138,297,300,,288,292,297,24,16,300,138,,242,
020,266,121,268,047,092,017,,121,266,268,17,20,47,92,,244,
158,131,188,084,145,111,017,,131,158,188,17,111,145,84,,166,
254,083,103,196,215,018,284,,103,254,284,196,83,18,215,,272,
285,073,019,199,247,084,135,,73,285,247,199,84,19,135,,242,
130,271,294,108,254,019,095,,95,19,108,254,130,271,294,,246,
097,251,020,068,250,278,294,,20,68,294,251,250,97,278,,264,
258,070,066,050,021,139,229,,21,139,50,229,66,70,258,,206,
021,244,136,177,236,071,198,,198,21,71,177,236,244,136,,200,
082,140,022,111,036,293,215,,22,36,215,111,293,82,140,,296,
023,163,155,084,232,234,181,,23,84,234,232,163,155,181,,216,
262,023,182,195,163,200,263,,163,262,263,200,182,23,195,,232,
221,277,024,117,285,027,297,,221,24,27,277,285,117,297,,198,
280,282,069,200,230,024,032,,280,282,69,32,230,24,200,,222,
070,251,024,194,192,278,121,,194,70,121,192,24,251,278,,298,
254,129,025,282,102,273,156,,156,25,102,273,129,254,282,,308,
196,076,116,198,165,032,026,,165,196,116,26,76,32,198,,266,
059,147,287,118,027,271,269,,287,271,269,118,147,59,27,,252,
224,223,208,289,085,149,027,,223,208,289,149,85,27,224,,194,
145,258,028,095,146,249,150,,258,249,146,150,145,28,95,,266,
082,066,298,168,196,030,216,,298,216,168,196,30,66,82,,252,
032,184,067,138,140,169,041,,169,138,140,184,32,67,41,,172,
034,152,173,053,237,035,244,,173,152,34,35,244,53,237,,220,
063,282,034,035,212,272,057,,212,57,35,63,34,282,272,,252,
108,123,087,034,191,197,285,,191,197,285,123,108,87,34,,276,
265,034,176,196,169,161,142,,161,34,176,265,196,169,142,,242,
120,088,035,057,232,115,044,,120,115,35,88,57,232,44,,224,
089,099,053,036,133,153,294,,133,53,36,99,153,294,89,,302,
116,036,203,217,254,277,286,,116,286,217,277,36,203,254,,312,
213,038,050,037,291,241,106,,38,37,213,241,50,106,291,,250,
270,062,151,188,215,038,240,,38,151,62,270,188,240,215,,244,
250,076,107,230,049,039,193,,250,107,193,230,76,39,49,,244,
076,189,164,039,218,204,237,,76,164,39,204,189,218,237,,218,
255,224,040,124,161,131,288,,255,288,131,40,224,161,124,,266,
041,149,105,063,076,207,122,,105,122,41,63,207,76,149,,278,
130,118,165,290,145,042,092,,130,165,42,118,92,290,145,,256,
051,043,065,106,070,168,282,,282,65,43,70,51,106,168,,242,
074,078,100,282,043,190,287,,100,78,190,74,43,287,282,,264,
044,074,083,183,113,241,270,,74,44,241,183,270,83,113,,270,
097,246,227,168,057,261,046,,46,57,97,246,227,168,261,,184,
233,122,235,247,285,260,047,,235,260,122,233,247,285,47,,262,
100,162,268,049,229,125,057,,268,57,100,162,125,49,229,,238,
096,260,155,262,066,049,097,,155,260,262,49,96,97,66,,230,
212,154,189,049,140,278,159,,278,49,212,154,189,159,140,,194,
258,149,052,206,256,199,214,,149,258,256,199,206,52,214,,284,
058,107,078,183,104,199,064,,58,64,78,107,104,183,199,,314,
089,191,060,283,226,195,268,,283,191,89,195,226,268,60,,286,
261,202,086,269,133,062,238,,133,269,238,86,62,261,202,,272,
136,067,296,111,075,234,138,,136,138,111,75,67,296,234,,214,
069,278,277,218,074,231,169,,277,278,69,218,74,169,231,,214,
072,215,082,300,210,237,070,,215,72,70,210,82,237,300,,176,
075,070,083,203,190,174,256,,190,70,75,83,203,256,174,,228,
196,265,073,122,071,234,099,,122,99,265,234,73,71,196,,282,
265,174,127,135,214,270,073,,73,127,174,265,214,270,135,,258,
269,080,076,215,186,152,284,,152,269,284,80,215,186,76,,354,
144,222,135,077,212,170,235,,222,212,170,77,235,135,144,,240,
081,292,223,229,246,124,204,,81,124,223,246,204,292,229,,280,
138,181,082,148,200,236,284,,138,181,82,200,284,148,236,,182,
082,238,260,252,183,239,299,,238,299,82,183,239,260,252,,276,
262,130,129,248,271,084,272,,262,272,129,130,248,84,271,,292,
252,208,085,265,116,270,287,,208,287,116,265,270,252,85,,222,
154,117,105,093,107,144,138,,105,93,154,117,138,144,107,,224,
208,175,097,123,189,228,238,,123,97,175,189,238,208,228,,270,
281,105,114,108,237,252,192,,105,114,108,281,252,192,237,,236,
133,110,152,222,240,123,203,,110,222,203,240,152,133,123,,202,
280,194,253,123,268,232,282,,123,280,253,282,232,268,194,,232,
139,224,266,239,292,183,200,,139,224,266,292,200,239,183,,248,
