113,036,249,001,210,298,,249,36,01,210,298,113,,176,
032,002,242,286,167,144,,167,144,32,02,242,286,,142,
283,051,181,002,240,228,,02,240,228,181,283,51,,196,
191,008,003,041,073,153,,03,191,153,73,08,41,,206,
283,238,172,011,240,003,,283,11,172,238,240,03,,262,
089,066,003,248,109,078,,03,66,89,109,248,78,,200,
004,241,019,074,166,265,,04,241,19,74,265,166,,158,
251,004,222,227,271,238,,04,251,271,222,227,238,,188,
033,006,222,023,173,028,,06,33,222,173,23,28,,138,
282,020,268,260,007,111,,07,282,20,268,260,111,,246,
007,055,046,205,062,231,,07,55,205,46,62,231,,216,
201,278,204,226,070,007,,70,278,07,201,204,226,,258,
179,150,114,008,264,296,,150,114,08,179,264,296,,262,
041,009,298,233,067,194,,41,09,67,298,233,194,,222,
206,178,082,152,010,020,,82,20,10,178,152,206,,296,
058,081,070,011,116,094,,81,11,58,116,70,94,,240,
163,230,193,012,287,094,,193,94,163,230,287,12,,238,
063,013,191,078,150,151,,63,13,191,151,150,78,,162,
013,093,291,155,188,167,,13,155,93,291,188,167,,224,
259,217,014,201,033,238,,259,201,238,217,14,33,,194,
178,046,014,164,245,298,,178,164,14,46,245,298,,242,
231,014,211,282,227,184,,14,282,211,231,227,184,,226,
041,069,223,015,108,135,,135,108,223,69,41,15,,184,
015,106,186,188,242,210,,106,15,188,210,186,242,,206,
112,222,067,034,016,122,,222,122,67,34,112,16,,244,
204,028,074,276,017,198,,74,276,28,17,204,198,,262,
075,240,285,227,099,017,,75,99,17,240,227,285,,248,
082,031,059,018,230,140,,31,82,140,230,59,18,,198,
199,082,251,218,018,265,,199,82,18,265,251,218,,216,
018,271,255,101,294,251,,18,101,294,271,255,251,,198,
207,212,246,134,279,018,,246,212,207,279,134,18,,206,
020,026,223,151,200,141,,223,151,26,141,20,200,,246,
020,204,060,103,191,274,,60,103,204,274,191,20,,306,
049,024,203,051,055,021,,24,21,49,51,55,203,,212,
067,025,033,059,155,021,,155,33,67,25,21,59,,172,
021,158,212,197,030,139,,212,158,21,197,30,139,,144,
203,043,213,021,115,235,,43,213,203,21,235,115,,154,
040,183,146,129,023,163,,163,40,183,146,23,129,,194,
175,049,129,023,137,287,,175,129,49,137,23,287,,204,
188,245,269,209,024,080,,188,245,269,80,24,209,,160,
277,250,262,024,264,097,,250,277,262,264,24,97,,194,
209,220,108,025,182,031,,220,108,31,25,209,182,,268,
078,207,168,287,025,249,,168,249,25,207,287,78,,240,
026,064,082,235,225,124,,64,82,225,124,235,26,,230,
094,026,066,255,150,269,,255,94,66,26,269,150,,146,
104,186,115,291,174,026,,104,186,115,26,291,174,,162,
210,026,219,239,111,293,,219,26,210,293,111,239,,202,
240,026,195,233,242,244,,240,242,26,233,195,244,,300,
256,027,058,168,137,209,,256,27,58,168,137,209,,228,
201,093,205,131,027,101,,93,205,131,27,201,101,,206,
207,279,155,099,029,205,,99,279,155,207,205,29,,168,
029,185,100,290,256,199,,185,100,29,290,199,256,,200,
062,103,031,256,040,101,,62,31,103,40,256,101,,170,
092,250,248,176,293,031,,248,92,31,293,176,250,,170,
056,032,204,073,057,202,,32,56,73,204,202,57,,188,
265,240,177,159,034,220,,265,220,177,240,159,34,,326,
193,243,230,035,149,195,,35,193,243,230,195,149,,184,
256,246,036,088,262,249,,36,246,256,249,262,88,,158,
107,160,106,210,037,072,,106,37,210,160,107,72,,190,
271,037,172,128,296,265,,128,271,37,172,265,296,,168,
046,039,082,148,189,216,,82,189,148,39,46,216,,220,
287,040,053,158,141,216,,40,158,53,287,216,141,,240,
141,053,200,232,040,209,,141,53,40,209,232,200,,212,
040,076,280,253,135,189,,135,280,189,253,40,76,,212,
280,258,043,042,204,210,,280,43,42,204,210,258,,168,
115,083,130,234,042,192,,83,42,192,130,115,234,,224,
127,210,272,173,299,042,,127,272,210,299,42,173,,164,
088,151,202,044,275,124,,124,151,202,275,88,44,,260,
045,058,129,051,098,132,,132,58,51,129,45,98,,220,
190,300,068,171,262,048,,300,262,48,171,68,190,,196,
213,126,246,279,253,050,,213,126,246,253,279,50,,176,
206,117,146,267,051,270,,206,267,117,146,51,270,,214,
074,107,061,262,052,252,,61,74,107,252,52,262,,170,
190,136,163,053,211,238,,163,190,211,238,53,136,,180,
180,106,215,075,057,066,,180,215,106,75,66,57,,214,
242,057,154,177,143,108,,154,242,57,108,177,143,,134,
291,242,125,283,204,063,,291,283,242,125,63,204,,188,
247,064,156,188,290,146,,247,156,64,188,146,290,,148,
140,084,281,065,154,260,,140,281,154,260,84,65,,260,
123,203,187,066,215,082,,203,66,82,123,187,215,,204,
205,129,280,184,186,067,,280,184,67,129,205,186,,258,
086,159,178,139,180,068,,159,178,86,68,180,139,,208,
108,268,248,214,213,072,,268,213,248,214,108,72,,276,
169,219,274,277,072,273,,169,274,273,72,219,277,,232,
170,274,075,107,102,269,,274,75,102,269,170,107,,174,
186,080,161,245,077,125,,161,186,245,80,77,125,,220,
084,081,296,145,212,092,,81,92,145,296,212,84,,288,
089,084,162,274,279,262,,279,262,162,274,84,89,,282,
086,184,236,154,187,175,,184,154,175,236,187,86,,242,
271,250,235,132,262,087,,271,250,235,262,132,87,,166,
087,299,141,249,231,245,,245,141,299,249,87,231,,298,
089,093,097,253,175,212,,93,97,212,175,89,253,,208,
090,106,246,148,263,278,,106,90,263,246,278,148,,200,
199,092,276,111,097,208,,92,276,97,199,111,208,,158,
154,098,094,176,277,142,,94,98,154,277,176,142,,130,
149,167,240,099,096,282,,167,240,282,149,99,96,,300,
187,114,162,208,096,148,,96,148,208,187,162,114,,162,
261,294,290,119,297,292,,290,294,292,119,297,261,,200,
153,255,208,261,120,178,,208,261,178,120,153,255,,142,
121,187,178,193,167,262,,193,262,187,121,178,167,,172,
