295,142,040,099,079,024,274,009,272,276,001,,40,09,142,79,99,272,276,295,274,01,24,,522,
071,026,158,242,246,196,185,235,001,156,090,,185,235,196,26,01,90,156,71,158,246,242,,452,
212,119,182,298,179,097,188,001,040,222,224,,40,222,182,01,298,188,224,179,97,212,119,,400,
183,298,001,117,061,274,273,093,292,299,136,,298,273,136,183,274,299,61,01,93,117,292,,410,
196,298,197,001,137,099,114,268,275,213,133,,213,196,133,137,114,197,275,01,298,268,99,,460,
002,122,276,273,241,200,123,108,094,004,036,,273,108,94,36,241,200,02,04,122,276,123,,452,
263,177,220,196,193,002,213,019,274,295,161,,161,02,19,295,177,193,220,213,263,274,196,,482,
186,043,288,027,113,002,179,269,185,070,283,,186,43,70,179,269,02,27,288,283,113,185,,346,
002,275,175,168,117,089,132,065,251,034,290,,02,34,117,175,290,168,251,132,275,65,89,,360,
181,105,295,296,047,002,093,164,197,113,130,,47,93,130,181,105,295,296,113,197,02,164,,400,
002,065,243,281,291,189,152,050,244,089,292,,281,189,89,65,244,292,291,50,02,243,152,,352,
158,055,062,077,002,294,086,080,161,219,119,,62,02,294,119,219,161,86,77,158,55,80,,334,
100,087,294,280,142,286,206,268,177,120,003,,100,294,286,280,268,87,177,142,120,206,03,,344,
267,128,145,003,196,250,256,195,224,254,147,,195,224,250,147,128,145,254,03,267,256,196,,432,
004,174,210,292,009,164,096,272,187,035,083,,164,187,210,272,09,83,174,292,04,35,96,,486,
017,165,239,118,149,004,150,200,171,107,130,,107,150,130,171,149,200,239,118,165,17,04,,330,
051,040,059,086,246,070,047,207,216,265,004,,40,04,265,51,70,216,59,207,246,86,47,,430,
270,253,124,119,136,184,176,004,217,049,145,,124,253,184,176,270,04,49,136,217,145,119,,370,
170,277,255,118,229,111,083,004,296,288,275,,04,118,111,296,83,277,275,255,288,229,170,,352,
013,254,082,026,199,006,269,005,218,020,050,,13,06,82,05,26,199,269,254,218,20,50,,386,
